Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Alabama,Birmingham,1,1,2019,60.3
North America,US,Alabama,Birmingham,1,2,2019,51.1
North America,US,Alabama,Birmingham,1,3,2019,51.4
North America,US,Alabama,Birmingham,1,4,2019,54.7
North America,US,Alabama,Birmingham,1,5,2019,47.5
North America,US,Alabama,Birmingham,1,6,2019,48.5
North America,US,Alabama,Birmingham,1,7,2019,53.2
North America,US,Alabama,Birmingham,1,8,2019,61.7
North America,US,Alabama,Birmingham,1,9,2019,49.8
North America,US,Alabama,Birmingham,1,10,2019,38.6
North America,US,Alabama,Birmingham,1,11,2019,38.0
North America,US,Alabama,Birmingham,1,12,2019,48.4
North America,US,Alabama,Birmingham,1,13,2019,48.3
North America,US,Alabama,Birmingham,1,14,2019,40.9
North America,US,Alabama,Birmingham,1,15,2019,38.7
North America,US,Alabama,Birmingham,1,16,2019,33.7
North America,US,Alabama,Birmingham,1,17,2019,42.4
North America,US,Alabama,Birmingham,1,18,2019,52.8
North America,US,Alabama,Birmingham,1,19,2019,57.3
North America,US,Alabama,Birmingham,1,20,2019,36.8
North America,US,Alabama,Birmingham,1,21,2019,31.6
North America,US,Alabama,Birmingham,1,22,2019,42.1
North America,US,Alabama,Birmingham,1,23,2019,55.3
North America,US,Alabama,Birmingham,1,24,2019,41.1
North America,US,Alabama,Birmingham,1,25,2019,37.1
North America,US,Alabama,Birmingham,1,26,2019,37.2
North America,US,Alabama,Birmingham,1,27,2019,41.6
North America,US,Alabama,Birmingham,1,28,2019,46.1
North America,US,Alabama,Birmingham,1,29,2019,41.8
North America,US,Alabama,Birmingham,1,30,2019,30.4
North America,US,Alabama,Birmingham,1,31,2019,30.6
North America,US,Alabama,Birmingham,2,1,2019,48.1
North America,US,Alabama,Birmingham,2,2,2019,51.8
North America,US,Alabama,Birmingham,2,3,2019,59.0
North America,US,Alabama,Birmingham,2,4,2019,58.7
North America,US,Alabama,Birmingham,2,5,2019,64.3
North America,US,Alabama,Birmingham,2,6,2019,68.5
North America,US,Alabama,Birmingham,2,7,2019,70.9
North America,US,Alabama,Birmingham,2,8,2019,50.5
North America,US,Alabama,Birmingham,2,9,2019,41.0
North America,US,Alabama,Birmingham,2,10,2019,47.8
North America,US,Alabama,Birmingham,2,11,2019,54.7
North America,US,Alabama,Birmingham,2,12,2019,62.3
North America,US,Alabama,Birmingham,2,13,2019,46.0
North America,US,Alabama,Birmingham,2,14,2019,48.6
North America,US,Alabama,Birmingham,2,15,2019,58.7
North America,US,Alabama,Birmingham,2,16,2019,53.8
North America,US,Alabama,Birmingham,2,17,2019,55.3
North America,US,Alabama,Birmingham,2,18,2019,49.4
North America,US,Alabama,Birmingham,2,19,2019,42.3
North America,US,Alabama,Birmingham,2,20,2019,50.1
North America,US,Alabama,Birmingham,2,21,2019,58.4
North America,US,Alabama,Birmingham,2,22,2019,55.3
North America,US,Alabama,Birmingham,2,23,2019,63.1
North America,US,Alabama,Birmingham,2,24,2019,61.7
North America,US,Alabama,Birmingham,2,25,2019,46.7
North America,US,Alabama,Birmingham,2,26,2019,55.8
North America,US,Alabama,Birmingham,2,27,2019,58.2
North America,US,Alabama,Birmingham,2,28,2019,64.1
North America,US,Alabama,Birmingham,3,1,2019,62.1
North America,US,Alabama,Birmingham,3,2,2019,51.3
